,Product Name,Price,Description
112,Whirlpool 270 L Frost Free Multi-Door Refrigerator,"₹28,790",Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 9 Years Warranty on Compressor
113,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,990",Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
114,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
115,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
116,Whirlpool 235 L Frost Free Multi-Door Refrigerator,"₹25,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
117,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹20,100",InverterBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
118,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
119,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
120,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹17,690",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
121,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹17,790","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
122,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
123,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
124,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 5 Years Warranty on Compressor
125,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
126,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
127,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
128,LG 185 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,"₹16,390",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
129,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
130,Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor
131,CANDY 240 L Frost Free Double Door 2 Star Refrigerator,"₹18,990",Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor
132,Haier 190 L Direct Cool Single Door 5 Star Refrigerator,"₹15,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
133,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
